,Smiles,sdg
294,CC(=O)CC(C)(C)O,336.0
295,CC(=O)CC(C)C,283.0
296,CCC=C(C)C=O,302.0
297,C/C=C/CC,226.0
298,C/C=C\CC,226.0
299,CC(C)=CC(C)(C)C,269.0
300,CCC=C(C)C,246.0
301,C/C=C(\C)CC,248.0
302,C/C=C(/C)CC,246.0
303,C/C=C/C(C)C,239.0
304,C/C=C\C(C)C,237.0
305,CC#CCC,240.0
306,CC(C)N,231.0
307,COCC(C)N,280.0
308,CC(C)(C)N,235.0
309,CC(C)NC(C)C,258.0
310,C=CCO,329.0
311,CC(C)O,282.0
312,CC(O)CNCC(C)O,421.0
313,OC(CCl)CCl,357.0
314,CCOCC(C)O,305.0
315,CCOCC(C)OC(C)=O,327.0
316,COCC(C)O,301.0
317,COCC(C)OC(C)=O,313.0
318,CC(O)COC(C)(C)C,319.0
319,COCC(C)OCC(C)OCC(C)O,393.0
320,CC(C)=O,251.0
321,C=CCN,250.0
322,C=CCN(CC=C)CC=C,306.0
323,C=C(C)CNCC,276.0
324,C=CCNCC=C,281.0
325,C=CCO,294.0
326,C=CC=O,248.0
327,C=C(C)C=O,255.0
328,C=CC#N,264.0
329,C=C(C)C#N,269.0
330,C=CC(=O)O,323.0
331,C=CC(=O)OCCOC(=O)C=C,376.0
332,C=CC(=O)OC(C)CC,299.7
333,C=CC(=O)OC(C)C,280.0
334,C=C(C)C(=O)OCC(C)O,372.0
335,C=CC(=O)OCC(C)O,373.0
336,C=CC(=O)OCCC(=O)O,419.0
337,C=CC(=O)OCC(CC)CCCC,352.0
338,C=CC(=O)OCCO,380.0
339,C=CC(=O)OCC(C)O,372.15
340,C=C(C)C(=O)O,335.0
341,C=C(C)C(=O)OCC(C)C,310.0
342,C=CCOC(=O)C(=C)C,306.0
343,C=C(C)C(=O)OCCCC,332.0
344,C=C(C)C(=O)OC,283.0
345,C=C(C)C(=O)OCCC,304.0
346,C=C(C)C(=O)OC(C)(C)C,299.0
347,C=C(C)C(=O)OCCCCCCCCCCCCCCCC,454.0
348,C=CC(=O)OCC(C)C,311.0
349,O=C(O)/C=C/c1ccccc1,443.0
350,C=CC(=O)OCCCC,311.0
351,C=CC(=O)OC,272.0
352,C=CC(=O)OCCC,293.0
353,C#CCO,309.261
354,C=CC(C)OC(C)=O,287.0
355,C=C(C)C(C)=O,277.0
356,C=CCC#N,295.0
357,C=CC(O)C#N,366.0
358,O=CC1CC=CCC1,320.15
359,CCCCC(CC)CC=O,329.0
360,CCCCC(CC)CC,296.0
361,CCC(C(C)C)C(C)C,290.0
362,CCC(CC)C(C)(C)C,288.0
363,CCCCC(=O)CC,309.0
364,CCC(=O)CCC(C)C,318.0
365,CC/C=C/CCC,265.0
366,CC/C=C\CCC,265.0
367,CCCC(=O)CC,292.0
368,CC/C=C/CC,246.0
369,CC/C=C\CC,245.0
370,N#CCC=CCC#N,419.0
371,C=CC(C)C=C,235.0
372,CC(C)CC=O,269.0
373,CCCCCCC(=O)CC,339.15
374,CCCCCC(=O)CC,316.15
375,CC/C=C/CCCC,282.0
376,CC/C=C\CCCC,281.0
377,CCC(O)CC,300.0
378,CCC(C)(O)CC,297.0
379,CCC(=O)CC,277.0
380,CC(C)C(=O)C(C)C,289.0
381,CC(=O)C=C(C)C,296.0
382,N#Cc1cccnc1,358.0
383,CCc1ccc(C)c(C)c1,332.0
384,CC(C)CC(O)CC(C)C,339.0
385,CCCC(=O)CCC,304.0
386,CC(C)CC(=O)CC(C)C,318.0
387,O=C(O)c1ccc(CO)cc1,495.0
388,CCCCCC(=O)CCC,336.0
389,CC(C)CC(=O)CC(C)CC(C)C,356.0
390,CCCCC(=O)CCC,318.15
391,CCC/C=C/CCC,282.0
392,CCC/C=C\CCC,281.0
393,C=CCCC(C)=O,296.15
394,O=C(O)c1ccc2c(c1)C(=O)OC2=O,509.0
395,CCCCC(=O)CCCC,334.0
396,CCCCCC(=O)CCCCC,362.0
397,Oc1cccc2cccnc12,404.0
398,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,470.0
399,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,467.0
400,c1ccc2c(c1)Cc1ccccc1-2,407.0
401,CCCCCCCC/C=C\CCCCCCCC(=O)O,471.0
402,CCCCCCCC/C=C\CCCCCCCC(=O)OC,451.0
403,C1=Cc2cccc3cccc1c23,393.0
404,c1cc2c3c(cccc3c1)CC2,395.0
405,CC=O,229.0
406,O=CC(Cl)Cl,302.0
407,O=CC(Cl)(Cl)Cl,306.0
408,N=C(O)C(F)(F)F,360.0
409,CC(=O)O,316.0
410,CC(=O)OC(C)(C)C,275.0
411,CC(=O)OC(C)C,271.0
412,CCC(C)OC(C)=O,284.0
413,CCCCC(CC)COC(C)=O,341.0
414,CC(=O)OCC(C)C,288.0
415,C=CCOC(C)=O,280.0
416,CC(=O)OC(C)=O,323.0
417,CCCCOC(C)=O,301.0
418,CCOC(=O)CCl,322.0
419,CCOC(=O)CC#N,367.0
420,COC(=O)CC#N,372.0
421,CC(=O)OC1CCCCC1,327.0
422,CCCCCCCCCCOC(C)=O,379.0
423,O=C(O)C(Cl)Cl,404.0
424,C=COC(C)=O,266.0
425,CCOC(C)=O,267.0
426,CCCCCCCOC(C)=O,341.0
427,CCCCCCOC(C)=O,326.0
428,O=C(O)CO,379.0
429,COC(=O)CO,335.0
430,COC(C)=O,257.0
431,CCCCCCCCCOC(C)=O,364.0
432,CCCCCCCCOC(C)=O,354.0
433,CCCCCOC(C)=O,309.0
434,CC(=O)OCc1ccccc1,358.0
435,CCCOC(C)=O,285.0
436,CC#N,278.0
437,N#CCNCC#N,414.0
438,CC(=O)Cl,260.0
439,C=CC(=O)OCC,279.0
440,Cc1cc2ccccc2o1,341.0
441,O=Cc1ccccc1,334.0
442,O=Cc1ccccc1O,348.0
443,Cc1ccccc1C=O,346.0
444,Cc1cccc(C=O)c1,349.0
445,Cc1ccc(C=O)cc1,354.0
446,Nc1ccccc1,342.0
447,CCc1cccc(CC)c1N,377.0
448,Nc1ccccc1Cl,360.0
449,CCc1ccccc1N,357.0
450,Cc1ccccc1N,352.0
451,Nc1ccccc1[N+](=O)[O-],427.0
452,Nc1cccc(Cl)c1,378.0
453,Cc1cccc(N)c1,356.0
454,Nc1ccc(N=Nc2ccccc2)cc1,466.0
455,Nc1ccc(Cl)cc1,388.0
456,CCOc1ccc(N)cc1,391.0
457,Cc1ccc(N)cc1,353.0
458,CCN(CC)c1ccccc1,356.0
459,CN(C)c1ccccc1,335.0
460,CCNc1ccccc1,361.0
461,CNc1ccccc1,347.0
462,c1ccc(Nc2ccccc2)cc1,415.0
463,c1ccccc1,261.0
464,OCCc1ccccc1,369.0
465,SCc1ccccc1,345.0
466,CC(C)(C)c1ccccc1,313.0
467,C/C=C(/C)c1ccccc1,322.0
468,C/C=C(\C)c1ccccc1,336.0
469,C=C(CC)c1ccccc1,327.0
470,C=C(C)c1ccccc1,310.0
471,CCC(C)c1ccccc1,318.0
472,CC(C)Cc1ccccc1,317.0
473,ClCc1ccccc1,330.0
474,ClC(Cl)c1ccccc1,355.0
475,CCOCc1ccccc1,331.0
476,CSc1ccccc1,342.0
477,c1ccc(CCc2ccccc2)cc1,393.0
478,ClC(Cl)(Cl)c1ccccc1,357.0
479,C=Cc1ccc(C(C)(C)C)cc1,353.0
480,CC(C)(c1ccccc1)C(C)(C)c1ccccc1,415.0
481,C(=C/c1ccccc1)\c1ccccc1,420.0
482,C(=C\c1ccccc1)\c1ccccc1,397.0
483,C(#Cc1ccccc1)c1ccccc1,407.0
484,c1ccc(COCc2ccccc2)cc1,415.0
485,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,472.0
486,c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,535.0
487,c1ccc(C(c2ccccc2)c2ccccc2)cc1,452.0
488,CC(c1ccccc1)c1ccccc1,388.0
489,c1ccc(Cc2ccccc2)cc1,382.0
490,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,464.0
491,c1ccc(Oc2ccccc2)cc1,376.0
492,Cc1ccc(C)c(C)c1C,344.0
493,CCc1cc(CC)c(CC)c(CC)c1,379.0
494,Cc1cc(C)c(C)c(C)c1,338.0
495,Clc1cccc(Cl)c1Cl,373.0
496,CCc1cccc(CC)c1CC,354.0
497,Cc1cccc(C)c1C,320.0
498,CCc1ccc(C)c(C)c1C,355.0
499,Clc1ccc(Cl)c(Cl)c1,369.0
500,CCc1ccc(CC)c(CC)c1,352.0
501,Cc1ccc(C)c(C)c1,317.0
502,CCc1c(C)ccc(C)c1C,346.0
